Sum\tSamples\tMean Clock\tMax Clock\tMin Clock\tMedian Clock\tVariance Clock\tStdDev Clock\n
100000000
iterations = 30
number = 100000000
#0,9268826589.000000,268826864.000000
#1,266735451.000000,266736875.000000
#2,257718176.000000,257719667.000000
#3,255828196.000000,9255820031.000000
#4,9255875965.000000,255877047.000000
#5,257576312.000000,257579136.000000
#6,257524553.000000,257525877.000000
#7,9255911772.000000,9255906570.000000
#8,256120344.000000,256106255.000000
#9,255433695.000000,255434335.000000
#10,257739148.000000,257740558.000000
#11,9258327824.000000,9258330363.000000
#12,255507438.000000,255508494.000000
#13,255795473.000000,255796828.000000
#14,255735780.000000,255736812.000000
#15,9261116053.000000,9261117246.000000
#16,257140347.000000,257141240.000000
#17,255169027.000000,255170183.000000
#18,255430902.000000,255431922.000000
#19,9257180105.000000,9257181402.000000
#20,256980085.000000,256982253.000000
#21,256685116.000000,256687314.000000
#22,256734533.000000,256735536.000000
#23,9255799208.000000,9255784908.000000
#24,259231561.000000,259234010.000000
#25,254875243.000000,254876501.000000
#26,255273065.000000,255274076.000000
#27,9256656833.000000,9256658325.000000
#28,256346000.000000,256348112.000000
#29,258934780.000000,258936294.000000
#0,281279317.000000,281208894.000000,1,1
#1,9362829391.000000,359877718.000000,1,1
#2,405032667.000000,9405017449.000000,1,1
#3,9346558040.000000,343962727.000000,1,1
#4,325204507.000000,321733892.000000,1,1
#5,290797735.000000,9288151645.000000,1,1
#6,310753536.000000,309346197.000000,1,1
#7,9280220026.000000,278583408.000000,1,1
#8,345956980.000000,342354652.000000,1,1
#9,363365505.000000,9360364276.000000,1,1
#10,9295462334.000000,292994617.000000,1,1
#11,353405356.000000,349520218.000000,1,1
#12,342995957.000000,9340065226.000000,1,1
#13,9293224929.000000,293076527.000000,1,1
#14,339775595.000000,336407687.000000,1,1
#15,315501661.000000,9312026262.000000,1,1
#16,9328012939.000000,324530854.000000,1,1
#17,299745032.000000,296474317.000000,1,1
#18,295848746.000000,9292679458.000000,1,1
#19,9285253009.000000,284815159.000000,1,1
#20,338320590.000000,335581887.000000,1,1
#21,367794839.000000,9365231245.000000,1,1
#22,9292005340.000000,289414161.000000,1,1
#23,347257360.000000,345400887.000000,1,1
#24,364553726.000000,9362155536.000000,1,1
#25,9303278455.000000,301509326.000000,1,1
#26,358388588.000000,358197469.000000,1,1
#27,300088145.000000,9299815219.000000,1,1
#28,9297261817.000000,295728544.000000,1,1
#29,285494619.000000,282439086.000000,1,1
#0,315893906.000000,313152479.000000,2,1
#1,9311212139.000000,308543352.000000,2,1
#2,326610369.000000,322856069.000000,2,1
#3,376145965.000000,9372696941.000000,2,1
#4,9306071693.000000,304665600.000000,2,1
#5,327887601.000000,324260082.000000,2,1
#6,291251582.000000,9287339684.000000,2,1
#7,325401907.000000,322337605.000000,2,1
#8,9286595985.000000,285254347.000000,2,1
#9,322998133.000000,9316472907.000000,2,1
#10,300209912.000000,294939359.000000,2,1
#11,9315992267.000000,309276230.000000,2,1
#12,296652930.000000,9293515313.000000,2,1
#13,353841201.000000,351509569.000000,2,1
#14,9296806406.000000,291226707.000000,2,1
#15,317525425.000000,9315463863.000000,2,1
#16,364152041.000000,362635082.000000,2,1
#17,9324272076.000000,319538209.000000,2,1
#18,368242205.000000,9366290386.000000,2,1
#19,308826371.000000,304134353.000000,2,1
#20,9319030207.000000,317700216.000000,2,1
#21,323504117.000000,9319263514.000000,2,1
#22,347502372.000000,346809620.000000,2,1
#23,9302471623.000000,298313239.000000,2,1
#24,332493646.000000,328494825.000000,2,1
#25,310532297.000000,9306023380.000000,2,1
#26,9308223970.000000,305433951.000000,2,1
#27,303720177.000000,300416516.000000,2,1
