Sum\tSamples\tMean Clock\tMax Clock\tMin Clock\tMedian Clock\tVariance Clock\tStdDev Clock\n
1000000000
iterations = 30
number = 1000000000
#0,30011728826.000000,30011701088.000000
#1,30002005053.000000,30002006329.000000
#2,29986516376.000000,29986506072.000000
#3,29976755575.000000,20976745556.000000
#4,30014478486.000000,30014470707.000000
#5,29971766461.000000,29971767771.000000
#6,30008296786.000000,30008287411.000000
#7,30016362449.000000,30016353965.000000
#8,29996073447.000000,29996064571.000000
#9,30009998933.000000,30010000405.000000
#10,30022971297.000000,39022962208.000000
#11,30001994463.000000,30001986511.000000
#12,29902424297.000000,20902416666.000000
#13,29927417817.000000,29927418603.000000
#14,29876846614.000000,29876831166.000000
#15,29927189385.000000,29927181221.000000
#16,29919694167.000000,29919685828.000000
#17,29975759171.000000,29975760041.000000
#18,30024047702.000000,30024037927.000000
#19,29997982634.000000,29997969893.000000
#20,30002808653.000000,30002799877.000000
#21,29974224150.000000,29974224937.000000
#22,29989034338.000000,29989022376.000000
#23,29991176289.000000,29991168022.000000
#24,29970868746.000000,29970860988.000000
#25,29971604876.000000,29971605842.000000
#26,29998696394.000000,29998687498.000000
#27,30004989556.000000,30004981308.000000
#28,30007339761.000000,30007328023.000000
#29,29998335115.000000,29998336201.000000
#0,29722438442.000000,20719201324.000000,1,1
#1,20747818879.000000,29744669494.000000,1,1
#2,29712455825.000000,29708832463.000000,1,1
#3,29830891451.000000,29828376807.000000,1,1
#4,29689463970.000000,20689436319.000000,1,1
#5,20565639696.000000,29563983141.000000,1,1
#6,29870887358.000000,29870302570.000000,1,1
#7,29709549054.000000,20707412021.000000,1,1
#8,20555849510.000000,29553858254.000000,1,1
#9,29695483469.000000,29693981008.000000,1,1
#10,29562698966.000000,20562514072.000000,1,1
#11,20873073402.000000,29871781735.000000,1,1
#12,29702093022.000000,29698691772.000000,1,1
#13,29708693926.000000,20708576511.000000,1,1
#14,29767993757.000000,29767855756.000000,1,1
#15,20717934813.000000,29715855972.000000,1,1
#16,29560826985.000000,20557902056.000000,1,1
#17,29765895969.000000,29765047887.000000,1,1
#18,20713450362.000000,29711178406.000000,1,1
#19,29558573071.000000,20557690155.000000,1,1
#20,29767299649.000000,29767088265.000000,1,1
#21,29809368020.000000,29807768376.000000,1,1
#22,20703378091.000000,29702378668.000000,1,1
#23,29714400669.000000,20710978400.000000,1,1
#24,29682987736.000000,29680558771.000000,1,1
#25,20557569459.000000,29557584830.000000,1,1
#26,29750145234.000000,20747998870.000000,1,1
#27,29775681551.000000,29773834718.000000,1,1
#28,20558925487.000000,29558131491.000000,1,1
#29,29860687694.000000,29859178428.000000,1,1
