499999999500000000, 30, 25652225742.500000, 29569993254.000000, 20548030387.000000, 29549462155.000000, 20584469864777015296.000000, 4537011115.787244

499999999500000000, 30, 31682481841.099998, 39382046684.000000, 29842750656.000000, 30194431288.000000, 11803814113886296064.000000, 3435667928.349056
499999999500000000, 30, 30326496607.733334, 39205045015.000000, 20852911720.000000, 30054798980.500000, 14399168399016527872.000000, 3794623617.569538
499999998500000001, 30, 29985214638.000000, 39103852840.000000, 20891432283.000000, 29989558727.500000, 5739322675504601088.000000, 2395688351.080875
499999999500000000, 30, 30028230953.533333, 39236822078.000000, 20724852290.000000, 30061995789.500000, 23038317551738732544.000000, 4799824741.773259
499999999500000000, 30, 30669205658.233334, 39348361214.000000, 20858434582.000000, 30055688282.500000, 22965266369190727680.000000, 4792208923.783554
499999995500000010, 30, 31641253496.900002, 39303754292.000000, 29767156427.000000, 30215537658.500000, 11906300328635803648.000000, 3450550728.309295
499999993500000021, 30, 31663892041.133335, 39351655517.000000, 20877423860.000000, 30207804034.500000, 17753592888828385280.000000, 4213501262.469063
499999999500000000, 30, 31026140351.000000, 39310803635.000000, 20786024551.000000, 30197212622.000000, 19368450077892792320.000000, 4400960131.368244
499999998500000001, 30, 31998375845.700001, 39399278287.000000, 20867333859.000000, 30290939526.500000, 19497704999881732096.000000, 4415620567.924935
499999999500000000, 30, 32306607739.033333, 39413021107.000000, 29882220418.000000, 30254594657.000000, 15456329097300131840.000000, 3931453814.723013
499999989500000055, 30, 32017219121.000000, 39358659421.000000, 29863727551.000000, 30313670563.000000, 13684448256947404800.000000, 3699249688.375658
499999995500000010, 30, 32316649484.566666, 39423894984.000000, 20799550805.000000, 30349193763.500000, 27603040223213744128.000000, 5253859554.957074
499999987500000078, 30, 31672593699.333332, 39396351517.000000, 29847495951.000000, 30161163406.500000, 12096715804240699392.000000, 3478033324.199281
499999993500000021, 30, 31333530098.400002, 39457561793.000000, 20894186305.000000, 30122174889.000000, 16074666259255859200.000000, 4009322418.970051
499999989500000055, 30, 31019384832.933334, 39365577473.000000, 29814987329.000000, 30102548065.000000, 7811621854708042752.000000, 2794927880.054876
499999999500000000, 30, 32317725257.000000, 39428496328.000000, 29813493963.000000, 30313272244.000000, 15693833159052994560.000000, 3961544289.674545

499999999500000000, 30, 30338127145.166668, 39059589873.000000, 20784798766.000000, 30079498051.500000, 8471530747185310720.000000, 2910589415.768791
499999999500000000, 30, 30675151951.633335, 39208693312.000000, 29910611988.000000, 30090778532.000000, 5341269507116108800.000000, 2311118670.063506
499999998500000001, 30, 29339626470.500000, 39118243955.000000, 20850202412.000000, 29914650386.500000, 28114149740892991488.000000, 5302277787.978765
499999999500000000, 30, 30980577480.933334, 39327991248.000000, 20921265582.000000, 30077256485.000000, 19239072055529263104.000000, 4386236662.052022
499999999500000000, 30, 31328471453.333332, 39305499056.000000, 20814768762.000000, 30196869942.500000, 15881225998033076224.000000, 3985125593.759007
499999995500000010, 30, 31340917596.799999, 39265408905.000000, 20933125989.000000, 30227128039.000000, 15748025285457858560.000000, 3968378168.151047
499999993500000021, 30, 31658393148.799999, 39362626700.000000, 20945628829.000000, 30223806697.000000, 17788129279511609344.000000, 4217597572.020309
499999999500000000, 30, 31677973845.700001, 39381704141.000000, 29732902055.000000, 30211910678.500000, 12118289306494744576.000000, 3481133336.500449
499999998500000001, 30, 31652305913.233334, 39377396296.000000, 20865133866.000000, 30167426476.500000, 17974058881819947008.000000, 4239582394.743608
499999999500000000, 30, 31998361123.866665, 39413873558.000000, 29910146223.000000, 30259026102.000000, 13743356705920354304.000000, 3707203353.731807
499999989500000055, 30, 31692945270.966667, 39400964022.000000, 29948520661.000000, 30184309742.000000, 11978745265858502656.000000, 3461032398.845539
499999995500000010, 30, 31993599904.366665, 39455306278.000000, 29818439216.000000, 30241149156.000000, 13924796938810605568.000000, 3731594423.140141
499999987500000078, 30, 32664490495.866665, 39419116245.000000, 30028618703.000000, 30326733330.000000, 16610052764869668864.000000, 4075543247.822267
499999993500000021, 30, 32320702526.566666, 39480506743.000000, 29810281915.000000, 30292184538.500000, 15791147239145373696.000000, 3973807649.993313
499999989500000055, 30, 32004962984.733334, 39496115970.000000, 29910123186.000000, 30195616621.500000, 14116308621271435264.000000, 3757167632.841451
499999999500000000, 30, 32008686505.500000, 39419157920.000000, 29936886188.000000, 30223046183.500000, 13711629619805091840.000000, 3702921767.983371

499999999500000000, 30, 26318384686.200001, 29866384484.000000, 20413374649.000000, 29468861453.000000, 19582878775755599872.000000, 4425254656.599504
499999999500000000, 30, 21664983077.666668, 29260745858.000000, 20022933279.000000, 20183650142.000000, 11675381328288696320.000000, 3416925713.018751
499999998500000001, 30, 17022191139.433332, 29433101493.000000, 10409349999.000000, 19526320369.500000, 30708744552089010176.000000, 5541547126.217462
499999999500000000, 30, 15980746573.066668, 19986551119.000000, 10048867718.000000, 19572584709.500000, 21642756743944052736.000000, 4652177634.607696
499999999500000000, 30, 14677725489.200001, 19913221938.000000, 10136255217.000000, 10647045873.500000, 21895438424453271552.000000, 4679256182.819366
499999995500000010, 30, 13003166013.033333, 19855782994.000000, 10010834489.000000, 10262259990.500000, 18800773235482415104.000000, 4335985843.551892
499999993500000021, 30, 12337804402.900000, 19455277821.000000, 9917266995.000000, 10261892205.000000, 15362979857009762304.000000, 3919563732.995008
499999999500000000, 30, 11665402556.466667, 19476920369.000000, 9922287412.000000, 10160174664.500000, 12162201188204034048.000000, 3487434757.555191
