mpirun --map-by ppr:2:node -n 8  -hostfile mpi_hosts ./mergeSortMPI 10000000
Bcast, 0, cpi1, 0.024132, 0.024131, 0.000001
Bcast, 4, cpi3, 0.027327, 0.027326, 0.000001
Bcast, 2, cpi2, 0.041851, 0.041850, 0.000001
Bcast, 6, cpi4, 0.044385, 0.044384, 0.000001
Bcast, 1, cpi1, 0.049988, 0.049987, 0.000001
Bcast, 5, cpi3, 0.062041, 0.062040, 0.000001
Bcast, 3, cpi2, 0.070547, 0.070547, 0.000001
Bcast, 7, cpi4, 0.071467, 0.071466, 0.000001
Scatter, 1, cpi1, 1.123082, 0.050168, 1.072915
Scatter, 2, cpi2, 1.295943, 0.042009, 1.253935
Scatter, 3, cpi2, 1.471255, 0.070675, 1.400580
Scatter, 4, cpi3, 1.771173, 0.027828, 1.743345
Scatter, 5, cpi3, 2.255118, 0.062210, 2.192908
Recv, 2, cpi2, 2.434637, 2.294024, 0.140613
Send, 3, cpi2, 2.434678, 2.425578, 0.009100
Process #3 of 8 on cpi2 took 0.963416 seconds 
Reduce, 3, cpi2, 2.434814, 2.434735, 0.000079
Recv, 4, cpi3, 3.216954, 2.780541, 0.436413
Send, 5, cpi3, 3.217015, 3.207569, 0.009446
Process #5 of 8 on cpi3 took 0.961888 seconds 
Reduce, 5, cpi3, 3.217161, 3.217077, 0.000084
Scatter, 6, cpi4, 3.676725, 0.044532, 3.632193
Scatter, 0, cpi1, 5.365416, 1.117893, 4.247524
Scatter, 7, cpi4, 5.440732, 0.071617, 5.369115
Send, 1, cpi1, 6.311927, 2.073889, 4.238039
Process #1 of 8 on cpi1 took 5.188826 seconds 
Recv, 0, cpi1, 6.323489, 6.314712, 0.008777
Reduce, 1, cpi1, 6.312337, 6.312003, 0.000334
Recv, 6, cpi4, 6.412830, 4.663578, 1.749252
Send, 7, cpi4, 6.412849, 6.402829, 0.010020
Process #7 of 8 on cpi4 took 0.972095 seconds 
Reduce, 7, cpi4, 6.412967, 6.412896, 0.000071
Send, 2, cpi2, 7.236740, 2.547928, 4.688812
Process #2 of 8 on cpi2 took 5.942891 seconds 
Reduce, 2, cpi2, 7.239108, 7.238962, 0.000146
Recv, 0, cpi1, 7.515051, 6.437804, 1.077247
Send, 6, cpi4, 7.880903, 6.528881, 1.352021
Process #6 of 8 on cpi4 took 4.206317 seconds 
Reduce, 6, cpi4, 7.883309, 7.883139, 0.000170
Recv, 4, cpi3, 7.934942, 3.333429, 4.601512
Send, 4, cpi3, 9.495556, 8.166416, 1.329140
Process #4 of 8 on cpi3 took 7.728794 seconds 
Reduce, 4, cpi3, 9.500386, 9.500082, 0.000304
Recv, 0, cpi1, 9.714110, 7.770547, 1.943563
Process #0 of 8 on cpi1 took 4.854983 seconds 
Reduce, 0, cpi1, 10.220689, 10.220503, 0.000187
Sorting 10000000 integers took 10.220502 seconds 
